hand,bankroll,session
0,400.0,1
1,500.0,1
2,500.0,1
3,600.0,1
4,700.0,1
5,750.0,1
6,725.0,1
7,775.0,1
8,725.0,1
9,575.0,1
10,475.0,1
11,425.0,1
12,325.0,1
13,275.0,1
14,225.0,1
15,175.0,1
16,75.0,1
17,25.0,1
18,25.0,1
19,0.0,1
0,400.0,2
1,350.0,2
2,400.0,2
3,400.0,2
4,450.0,2
5,400.0,2
6,350.0,2
7,300.0,2
8,350.0,2
9,400.0,2
10,400.0,2
11,350.0,2
12,300.0,2
13,350.0,2
14,350.0,2
15,425.0,2
16,375.0,2
17,325.0,2
18,300.0,2
19,350.0,2
20,400.0,2
21,450.0,2
22,400.0,2
23,400.0,2
24,475.0,2
25,475.0,2
26,525.0,2
27,500.0,2
28,475.0,2
29,525.0,2
30,475.0,2
31,425.0,2
32,475.0,2
33,575.0,2
34,625.0,2
35,675.0,2
36,625.0,2
37,700.0,2
38,600.0,2
39,650.0,2
40,650.0,2
41,600.0,2
42,550.0,2
43,700.0,2
44,650.0,2
45,600.0,2
46,550.0,2
47,600.0,2
48,700.0,2
49,700.0,2
50,700.0,2
51,750.0,2
52,700.0,2
53,750.0,2
54,700.0,2
55,750.0,2
56,700.0,2
57,650.0,2
58,750.0,2
59,700.0,2
60,675.0,2
61,625.0,2
62,625.0,2
63,625.0,2
64,575.0,2
65,575.0,2
66,725.0,2
67,775.0,2
68,825.0,2
0,400.0,3
1,450.0,3
2,400.0,3
3,450.0,3
4,400.0,3
5,350.0,3
6,300.0,3
7,350.0,3
8,300.0,3
9,350.0,3
10,425.0,3
11,400.0,3
12,350.0,3
13,300.0,3
14,250.0,3
15,300.0,3
16,300.0,3
17,250.0,3
18,200.0,3
19,175.0,3
20,175.0,3
21,225.0,3
22,175.0,3
23,125.0,3
24,175.0,3
25,225.0,3
26,175.0,3
27,125.0,3
28,175.0,3
29,175.0,3
30,125.0,3
31,225.0,3
32,200.0,3
33,250.0,3
34,200.0,3
35,100.0,3
36,150.0,3
37,100.0,3
38,200.0,3
39,150.0,3
40,100.0,3
41,50.0,3
42,0.0,3
0,400.0,4
1,450.0,4
2,400.0,4
3,400.0,4
4,400.0,4
5,350.0,4
6,325.0,4
7,275.0,4
8,325.0,4
9,275.0,4
10,225.0,4
11,275.0,4
12,325.0,4
13,275.0,4
14,250.0,4
15,300.0,4
16,350.0,4
17,325.0,4
18,375.0,4
19,325.0,4
20,300.0,4
21,350.0,4
22,300.0,4
23,350.0,4
24,400.0,4
25,450.0,4
26,400.0,4
27,450.0,4
28,500.0,4
29,550.0,4
30,550.0,4
31,600.0,4
32,550.0,4
33,450.0,4
34,500.0,4
35,450.0,4
36,500.0,4
37,450.0,4
38,500.0,4
39,450.0,4
40,550.0,4
41,600.0,4
42,500.0,4
43,550.0,4
44,500.0,4
45,600.0,4
46,550.0,4
47,500.0,4
48,475.0,4
49,525.0,4
50,475.0,4
51,425.0,4
52,475.0,4
53,425.0,4
54,375.0,4
55,325.0,4
56,275.0,4
57,325.0,4
58,300.0,4
59,250.0,4
60,200.0,4
61,150.0,4
62,200.0,4
63,350.0,4
64,300.0,4
65,350.0,4
66,300.0,4
67,250.0,4
68,250.0,4
69,150.0,4
70,100.0,4
71,150.0,4
72,150.0,4
73,150.0,4
74,200.0,4
75,150.0,4
76,250.0,4
77,300.0,4
78,275.0,4
79,325.0,4
80,425.0,4
81,425.0,4
82,375.0,4
83,325.0,4
84,325.0,4
85,275.0,4
86,325.0,4
87,375.0,4
88,325.0,4
89,325.0,4
90,375.0,4
91,425.0,4
92,425.0,4
93,375.0,4
94,375.0,4
95,425.0,4
96,375.0,4
97,325.0,4
98,275.0,4
99,375.0,4
100,325.0,4
101,400.0,4
102,400.0,4
103,450.0,4
104,350.0,4
105,400.0,4
106,450.0,4
107,500.0,4
108,550.0,4
109,600.0,4
110,550.0,4
111,600.0,4
112,650.0,4
113,625.0,4
114,675.0,4
115,725.0,4
116,675.0,4
117,775.0,4
118,725.0,4
119,775.0,4
120,825.0,4
0,400.0,5
1,350.0,5
2,300.0,5
3,250.0,5
4,200.0,5
5,150.0,5
6,100.0,5
7,100.0,5
8,50.0,5
9,50.0,5
10,0.0,5
0,400.0,6
1,375.0,6
2,425.0,6
3,475.0,6
4,425.0,6
5,475.0,6
6,425.0,6
7,325.0,6
8,275.0,6
9,275.0,6
10,225.0,6
11,175.0,6
12,125.0,6
13,75.0,6
14,25.0,6
15,50.0,6
16,0.0,6
0,400.0,7
1,475.0,7
2,475.0,7
3,450.0,7
4,450.0,7
5,450.0,7
6,400.0,7
7,350.0,7
8,300.0,7
9,250.0,7
10,200.0,7
11,300.0,7
12,250.0,7
13,200.0,7
14,175.0,7
15,225.0,7
16,275.0,7
17,275.0,7
18,225.0,7
19,375.0,7
20,275.0,7
21,175.0,7
22,125.0,7
23,25.0,7
24,50.0,7
25,0.0,7
0,400.0,8
1,350.0,8
2,300.0,8
3,350.0,8
4,450.0,8
5,450.0,8
6,400.0,8
7,375.0,8
8,425.0,8
9,475.0,8
10,425.0,8
11,375.0,8
12,475.0,8
13,525.0,8
14,625.0,8
15,725.0,8
16,775.0,8
17,775.0,8
18,725.0,8
19,775.0,8
20,825.0,8
0,400.0,9
1,350.0,9
2,300.0,9
3,400.0,9
4,300.0,9
5,350.0,9
6,400.0,9
7,450.0,9
8,600.0,9
9,700.0,9
10,700.0,9
11,750.0,9
12,700.0,9
13,675.0,9
14,725.0,9
15,675.0,9
16,725.0,9
17,675.0,9
18,625.0,9
19,575.0,9
20,475.0,9
21,525.0,9
22,475.0,9
23,525.0,9
24,475.0,9
25,425.0,9
26,475.0,9
27,525.0,9
28,475.0,9
29,525.0,9
30,600.0,9
31,550.0,9
32,550.0,9
33,500.0,9
34,550.0,9
35,500.0,9
36,600.0,9
37,675.0,9
38,625.0,9
39,675.0,9
40,725.0,9
41,775.0,9
42,825.0,9
0,400.0,10
